21,18,19,16,18,23,31,28,22,24
23,17,17,13,30,30,21,24,26,16
22,18,32,18,14,20,13,25,22,21
24,17,17,17,35,25,17,27,18,24
13,34,20,27,33,19,24,23,20,22
22,21,21,24,19,13,21,22,23,22
26,16,21,18,29,22,34,28,16,13
22,21,26,15,24,26,21,22,20,22
22,22,20,21,21,22,16,17,20,17
34,21,17,24,16,22,26,18,17,17
23,23,21,20,22,26,22,20,19,23
18,22,25,19,14,16,20,17,23,20
17,14,26,22,30,15,19,22,18,20
23,23,22,29,16,25,14,23,20,17
24,20,24,18,18,29,20,23,27,12
16,18,19,25,24,23,22,14,19,20
17,25,23,19,15,22,28,24,14,19
18,21,25,25,20,18,14,18,23,21
22,16,22,15,28,25,21,22,23,16
32,18,21,19,18,25,21,15,18,21
