5.98, 106, 216, 322, 432, 537, 648, 754, 863, 972, 1080
9.24, 132, 263, 400, 526, 667, 800, 909, 1042, 1191, 1316
13.69, 161, 323, 476, 645, 800, 952, 1136, 1316, 1477, 1613
14.07, 162, 323, 476, 645, 833, 952, 1136, 1316, 1471, 1667
18.51, 185, 370, 556, 741, 909, 1111, 1316, 1471, 1724, 1852
